Era,Series Title,Parent Authority,Result,Authority ID,Resolved Authority ID,Publishing Era,Status
DC You,DC Comics: Bombshells United,DC Universe,Added,SER-01486,SER-01486,DC You,Assigned
DC You,The Legend of Wonder Woman,DC Universe,Added,SER-01487,SER-01487,DC You,Assigned
DC You,Wonder Woman '77,DC Universe,Added,SER-01488,SER-01488,DC You,Assigned
DC You,Batman: The Adventures Continue,DC Universe,Already present,,SER-01025,DC You,Assigned
DC You,Scooby Apocalypse,DC Universe,Added,SER-01489,SER-01489,DC You,Assigned
DC You,Future Quest,DC Universe,Added,SER-01490,SER-01490,DC You,Assigned
DC You,Future Quest Presents,DC Universe,Added,SER-01491,SER-01491,DC You,Assigned
DC You,The Flintstones,DC Universe,Added,SER-01492,SER-01492,DC You,Assigned
DC You,Wacky Raceland,DC Universe,Added,SER-01493,SER-01493,DC You,Assigned
DC You,The Jetsons,DC Universe,Added,SER-01494,SER-01494,DC You,Assigned
DC You,Dastardly and Muttley,DC Universe,Added,SER-01495,SER-01495,DC You,Assigned
DC You,Exit Stage Left: The Snagglepuss Chronicles,DC Universe,Added,SER-01496,SER-01496,DC You,Assigned
DC You,Ruff and Reddy Show,DC Universe,Added,SER-01497,SER-01497,DC You,Assigned
Rebirth,Batgirl and the Birds of Prey,Batgirl,Added,SER-01498,SER-01498,Rebirth,Assigned
Rebirth,Batman Beyond,Batman,Already present,,SER-01016,Rebirth,Assigned
Rebirth,Green Lanterns,Green Lantern,Added,SER-01499,SER-01499,Rebirth,Assigned
Rebirth,Hal Jordan and the Green Lantern Corps,Green Lantern,Already present,,SER-01042,Rebirth,Assigned
Rebirth,The Hellblazer,John Constantine,Already present,,SER-01868,Rebirth,Created exact-title authority
Rebirth,New Super-Man,Superman,Added,SER-01500,SER-01500,Rebirth,Assigned
Rebirth,New Super-Man and the Justice League of China,Superman,Added,SER-01501,SER-01501,Rebirth,Assigned
